,Date,DBO,DTO,OLEM,OLO,SCO,SZO,UCO,USL,USO
253,2011-02-14,28.050704999999997,59.849998,,14.01,28.35,47.349998,432.799988,43.169998,36.360001000000004
254,2011-02-21,29.753431,50.459998999999996,,14.85,24.18,43.169998,500.89999400000005,45.5,39.68
255,2011-02-28,31.456159999999997,43.619999,,15.72,21.275,40.150002,564.599976,47.900002,42.330002
256,2011-03-07,30.373501,47.810001,,15.18,22.934998999999998,41.720001,522.299988,46.380001,40.689999
257,2011-03-14,30.609718,47.130001,,15.22,22.445,41.68,527.5,46.630001,40.970001
258,2011-03-21,31.416790000000002,43.950001,,15.65,21.120001000000002,40.32,558.799988,47.970001,42.18
259,2011-03-28,32.204182,41.599998,,16.049999,20.09,39.279999,585.200012,49.07,43.169998
260,2011-04-04,33.719898,37.619999,,16.809998999999998,18.295,37.41,640.700012,51.259997999999996,45.150002
261,2011-04-11,32.59787,40.540001000000004,,16.23,19.485001,38.630001,596.599976,49.650002,43.709998999999996
262,2011-04-18,33.237625,38.75,50.349998,16.559998999999998,18.635,37.939999,619.5,50.599998,44.57
263,2011-04-25,33.680534,37.57,51.040001000000004,16.76,18.129998999999998,37.419998,636.599976,51.240002000000004,45.150002
264,2011-05-02,29.034940999999996,47.849998,44.07,14.46,23.74,42.43,468.60000599999995,44.349998,38.869999
265,2011-05-09,29.438477000000002,46.970001,44.150002,14.6,22.68,42.700001,478.200012,45.110001000000004,39.439999
266,2011-05-16,29.477847999999998,46.869999,44.849998,14.69,22.49,42.110001000000004,479.0,45.279999,39.470001
267,2011-05-23,29.655008000000002,46.450001,45.119999,14.78,22.115,41.849998,483.700012,45.880001,39.709998999999996
268,2011-05-30,29.605796999999995,47.07,44.869999,14.75,22.094998999999998,41.939999,481.89999400000005,45.950001,39.66
269,2011-06-06,29.123521999999998,48.34,45.610001000000004,14.52,22.615,42.630001,468.10000599999995,45.299999,39.07
270,2011-06-13,27.519218,53.75,41.240002000000004,13.71,25.540001,45.09,408.700012,42.700001,36.630001
271,2011-06-20,27.312528999999998,55.560001,42.549999,13.59,26.485001,45.91,390.399994,41.919998,35.810001
272,2011-06-27,28.286921999999997,52.669998,42.630001,14.18,24.485001,44.439999,420.0,43.540001000000004,37.150002
273,2011-07-04,28.690458000000003,50.950001,43.880001,14.3,23.59,43.740002000000004,433.39999400000005,44.220001,37.799999
274,2011-07-11,28.897147999999998,49.990002000000004,43.200001,14.46,23.059998999999998,43.5,440.10000599999995,44.509997999999996,38.130001
275,2011-07-18,29.192419,47.700001,43.299999,14.56,22.065001000000002,42.389998999999996,459.0,45.130001,38.93
276,2011-07-25,28.36566,51.84,43.709998999999996,14.13,23.809998999999998,43.630001,424.10000599999995,43.740002000000004,37.419998
277,2011-08-01,26.033023999999997,61.459998999999996,38.860001000000004,13.01,28.58,48.200001,347.100006,39.91,33.950001
278,2011-08-08,25.196424,63.57,38.0,12.62,29.200001,49.16,328.899994,38.77,33.23
279,2011-08-15,24.536985,66.589996,36.400002,12.27,30.799999,50.5,306.0,37.48,32.119999
280,2011-08-22,25.186581,63.639998999999996,37.57,12.58,28.879998999999998,49.25,324.899994,38.689999,33.150002
281,2011-08-29,25.196424,62.889998999999996,38.110001000000004,12.62,27.934998999999998,48.779999,334.299988,38.990002000000004,33.639998999999996
282,2011-09-05,25.245634,62.27,38.900002,12.61,27.485001,48.459998999999996,336.399994,39.049999,33.849998
283,2011-09-12,25.531063,61.209998999999996,38.41,12.72,26.905001000000002,48.080002,342.299988,39.459998999999996,34.139998999999996
284,2011-09-19,23.385431,71.790001,35.709998999999996,11.67,31.969998999999998,52.299999,282.600006,36.080002,31.09
285,2011-09-26,22.676783,74.07,36.049999,11.41,32.625,52.900002,270.899994,35.130001,30.49
286,2011-10-03,23.611805,66.480003,33.59,11.85,29.045,50.41,297.100006,36.68,32.040001000000004
287,2011-10-10,24.901152,58.150002,37.560001,12.37,25.955,47.400002,329.299988,38.619999,33.869999
288,2011-10-17,24.910995,57.959998999999996,36.950001,12.43,25.799999,47.470001,329.200012,38.669998,33.849998
289,2011-10-24,26.190502,47.310001,40.419998,13.1,22.469998999999998,43.43,371.200012,40.759997999999996,36.029999
290,2011-10-31,26.525143,46.439999,40.32,13.19,21.975,43.029999,378.600006,41.259997999999996,36.459998999999996
291,2011-11-07,27.647169,41.810001,42.509997999999996,13.8,19.924999,40.919998,416.100006,42.93,38.209998999999996
292,2011-11-14,27.588115999999996,42.790001000000004,42.18,13.75,20.15,41.290001000000004,406.299988,42.740002000000004,37.82
293,2011-11-21,27.263319,44.310001,41.790001000000004,13.58,20.745001000000002,42.09,394.100006,42.209998999999996,37.16
294,2011-11-28,28.493612,39.689999,43.950001,14.17,18.865,39.919998,431.89999400000005,44.119999,39.029999
295,2011-12-05,28.267236999999998,40.740002000000004,42.830002,14.06,19.355,40.48,420.200012,43.689999,38.5
