,Date,BJK,CARZ,CHIQ,FDIS,FXD,INCO,IYC,JHMC,PBS,PEJ,PEZ,PMR,PSCD,RCD,RETL,RTH,RXI,SCC,UCC,VCR,WBIA,XLY
136,2016-07-01,31.458342,31.396271000000002,10.797002,30.900570000000002,35.213184000000005,35.38525,145.454849,25.33456,25.048298000000003,34.565083,42.560192,35.208984,48.957607,85.755943,44.095959,76.87999,86.789825,36.757877,55.750267,123.219986,22.104872,81.620003
137,2016-08-01,31.137712,31.974352000000003,11.159125999999999,30.562596999999997,34.939598,35.455067,143.574722,24.948805,24.811526999999998,34.457134,42.421719,35.082607,47.629711,84.958527,41.301888,75.616837,86.945076,37.468174,54.346424,121.822708,21.825922,80.559998
138,2016-09-01,33.263023,31.348886,11.587956,30.388780999999998,34.441299,36.083382,143.311676,24.719279999999998,25.196281,34.908573,41.907398,33.95499,47.15477,83.60386700000001,41.137531,74.61206800000001,86.69279499999999,37.339923999999996,54.311577,121.167442,21.451696,80.040001
139,2016-10-01,32.145401,32.259640000000005,11.368777,29.707069,33.569897,35.754261,140.386581,24.186935000000002,24.33934,35.865654,40.128651,33.456226,45.017551,82.238785,37.444336,71.836952,85.38295,38.967693,51.966873,118.662231,20.341785,78.099998
140,2016-11-01,33.986732,31.812513,11.568897,31.325166999999997,35.352717999999996,32.383293,147.68379199999998,25.636415,25.693172,39.032291,42.535187,35.832043,49.931022999999996,87.11261,40.576778000000004,74.583359,87.439903,34.607258,58.109901,124.90148899999998,22.690277,81.849998
141,2016-12-01,31.000296000000002,32.744816,10.673117999999999,31.170132000000002,34.774769,32.303501000000004,147.537262,25.836044,25.900692000000003,39.356823,41.723099,35.004406,50.795258000000004,85.07061,35.307705,76.066597,87.47872199999999,34.893349,57.174006999999996,124.46619399999999,22.797337,81.400002
142,2017-01-01,32.85849,34.215111,11.755824,32.562176,35.242962,34.71006,152.516983,26.118713,27.234762,39.892223,41.922539,34.064083000000004,49.722815999999995,87.259552,33.911652000000004,74.596901,91.055527,33.04855,60.033627,129.853241,22.972519000000002,84.83000200000001
143,2017-02-01,33.482021,34.473877,12.375061,33.107796,35.793015000000004,35.89801,156.065475,26.455696000000003,27.047007,40.355629,42.964161,34.337616,50.250434999999996,88.187027,33.071278,77.002937,92.05238299999999,31.253079999999997,63.880390000000006,132.138687,23.482866,86.370003
144,2017-03-01,35.617165,34.790146,12.839489,33.789829,36.166275,38.533455,157.75148000000002,27.012455,27.422520000000002,40.64156,43.122883,34.259464,51.520610999999995,89.810097,31.291656,76.963974,94.290413,30.730217,65.076286,134.66726699999998,23.206551,87.949997
145,2017-04-01,37.185452000000005,34.706771999999994,13.042675,34.712596999999995,36.4384,40.150665000000004,162.296753,27.425627000000002,27.669571,41.430336,44.055374,35.494053,53.080684999999995,90.8069,32.478069,79.175186,96.978004,28.816359999999996,68.244019,138.402222,23.741062,90.059998
146,2017-05-01,37.5728,34.975147,13.748992999999999,34.917767,36.024994,41.208836,164.555923,27.339671999999997,26.780191,41.233135,44.610904999999995,34.184166,51.888298,89.30426800000001,27.287512,80.685051,98.297371,29.654909000000004,69.529938,139.416718,23.228809,91.050003
147,2017-06-01,38.470318,35.233936,14.136016,34.683289,36.418715999999996,41.628113,161.196655,27.068132000000002,27.521340999999996,40.917629,44.432339,33.939780999999996,53.36411700000001,89.866539,27.495134000000004,78.386162,96.723907,28.944609000000003,68.034683,138.490005,23.736139,89.629997
148,2017-07-01,38.423077,36.184814,14.968116,35.372475,37.019558,43.464943,164.458908,27.601955,28.692865,40.423481,45.719501,34.295502,53.462261,90.51892099999999,27.682983,79.584312,99.575035,28.194853000000002,69.737915,141.033325,23.511206,91.360001
149,2017-08-01,38.375839,36.572959999999995,15.461570000000002,34.725597,36.417694,43.105564,161.00148000000002,27.179876,27.455252,40.006741,44.806309000000006,31.695871,50.998249,88.25230400000001,23.609629,77.012672,98.128059,30.384933,66.805992,138.665497,22.608908,89.660004
150,2017-09-01,40.322029,39.086197,16.612963,35.147048999999996,37.927279999999996,42.426735,161.582626,27.590176,27.554258,40.989052,46.523518,33.324321999999995,55.33726899999999,90.509201,28.918827,79.408966,100.234535,28.855824,66.636452,140.250565,23.936167,90.08000200000001
151,2017-10-01,40.208659999999995,40.533707,16.893555,35.864265,38.187641,45.581286999999996,163.133347,27.852257,26.909496,41.481373,48.58976,32.766548,54.653091,89.085297,24.222607,79.467422,102.58709,28.421749,68.331779,143.087875,24.917461,91.989998
