,Date,BDCL,BDCZ,BIZD,CHIX,DPST,DXJF,EUFN,FAS,FINU,FINZ,FNCL,FXO,IAI,IAK,IAT,IXG,IYF,IYG,JHMF,KBE,KBWB,KBWD,KBWP,KBWR,KCE,KIE,KRE,LMLP,PEX,PFI,PHDG,PSCF,PSP,QABA,RYF,SEF,SKF,UYG,VFH,VQT,WDRW,XLF
65,2010-08-01,,,,10.713664,,,15.462023,7.354833,,,,10.837294,20.352043,23.096357,17.339731,33.029575,42.464081,42.606117,,18.679888000000002,,,,,24.727983,10.407627,18.127054,,,14.370441,,18.221080999999998,4.895087999999999,18.125652,7.818339,88.300003,366.79184,7.584641,23.484428,,,7.172663000000001
66,2010-09-01,,,,11.210271,,,16.751151999999998,8.768282000000001,,,,11.633009,21.911585000000002,25.001123,18.405869,35.478004,45.134338,45.467937,,19.847382999999997,,,,,26.725718,11.325353999999999,19.663378,,,15.369125,,19.550787,5.515432,19.456863000000002,8.464202,82.32,317.152039,8.550417999999999,24.941156,104.93,,7.59054
67,2010-10-01,,,,12.081367,,,17.331636,9.113424,,,,11.909778,23.203595999999997,25.594004,18.590963000000002,36.243140999999994,46.08271,46.138744,,19.563617999999998,,,,,28.581916999999997,11.550198,19.541042,,,15.672444,,20.210646,5.984630999999999,19.324617,8.674230999999999,80.599998,304.063721,8.838877,25.515072,105.629997,,7.718926
68,2010-11-01,,,,11.446361999999999,,,14.911691000000001,8.792936,,,,11.857882,23.012693,24.985645,18.308506,34.495411,45.648056,45.924526,,19.277826,,,,,28.606323,11.25389,19.411741,,,15.707942999999998,,20.146128,5.791945,19.430414000000003,8.561666,80.91999799999999,305.340637,8.651689,25.303783,105.139999,,7.665912
69,2010-12-01,,,,10.868345,,,15.997272,11.43903,,,,12.636301,25.182064,26.853571000000002,21.175898,37.153248,49.96859,51.38726,,22.438837,,11.931302,21.312479,,31.225378000000003,12.378705,22.799309,,,16.870507999999997,,21.896214999999998,6.0923099999999994,22.084021,9.499696,73.32,250.114365,10.441799000000001,27.788527000000002,108.379997,,8.455832000000001
70,2011-01-01,,,,10.850582000000001,,,17.672365,12.306,,,,13.008347,26.070103,27.558746000000003,21.143719,38.985069,51.382801,52.710163,,22.826397,,11.675809,21.712397,,32.120262,12.597996,22.608875,,,17.212065,,22.151144,6.437157,21.877592,9.758937,71.400002,236.86645499999997,10.901124000000001,28.621534000000004,110.239998,,8.725922
71,2011-02-01,,,,10.775521000000001,,,18.364357000000002,13.366082,,,,13.540188,27.027212,28.826414,21.538767,40.586075,52.83216899999999,53.648701,,22.982504000000002,,12.237801,21.612423,,33.248878000000005,13.216144,23.102064000000002,,,18.00095,,22.844385,6.695583999999999,22.276982999999998,10.062517,69.199997,221.78297400000002,11.489438999999999,29.437596999999997,112.839996,,8.96535
72,2011-03-01,,,,11.692942,,,17.634348000000003,12.44159,,,,13.409410000000001,26.201817000000002,28.166527000000002,20.989134,39.21262,51.627266,52.397296999999995,,22.392765,,12.088313000000001,21.770725,,32.449795,12.806948,23.041494,,,17.991993,,22.942253,6.807177,22.330227,9.847621,70.32,229.28479,11.000227,28.808553999999997,112.970001,,8.720597
73,2011-04-01,,,,11.542817999999999,,,19.010723000000002,12.605939999999999,,,,13.653533,26.320673,29.078209,20.956194,40.431664000000005,52.113171,51.919773,,22.250547,,12.368306,22.625412,,32.2682,13.212785,23.206453,,,18.314716,,23.615686,7.2065589999999995,22.640871,10.132098,69.660004,225.09495499999997,11.128039,29.041119000000002,114.660004,,8.73809
74,2011-05-01,7.550741,,,11.551159,,,18.014563,11.595163000000001,,,,13.357095000000001,24.948795,28.088377,20.654842000000002,38.968807,50.826538,50.36298,,21.677122,,12.277661,21.908613,,30.734365000000004,12.619081,22.468771,,,17.830622,,23.150221,6.907023,22.081726,9.863650999999999,71.279999,235.190506,10.578717999999999,28.249788,112.269997,,8.450019000000001
