,Date,AMJ,AMLP,AMU,AMUB,AMZA,ATMP,CRAK,DDG,DIG,DRIP,DUG,ENFR,ENY,ERY,FAN,FCG,FENY,FILL,FRAK,FXN,GASL,GEX,GREK,GRID,GUSH,ICLN,IEO,IEZ,IMLP,IXC,IYE,KOL,MLPA,MLPB,MLPC,MLPG,MLPI,MLPO,MLPY,NLR,OIH,PBD,PBW,PSCE,PUW,PXE,PXI,PXJ,PZD,QCLN,RYE,TAN,VDE,XES,XLE,XOP,YLCO,YMLI,YMLP,ZMLP
54,2009-09-01,14.215093,,,,,,,54.311516000000005,29.313576,,289.024323,,11.515161,10690.345703,13.035299,76.871773,,,,14.240768,,68.15316800000001,,,,18.029754999999998,46.408947,36.470345,,26.242765000000002,26.014969,23.7673,,,,,,,,47.112128999999996,33.02718,14.707191,45.120533,,20.422951,13.029183,22.777964,15.498860999999998,21.97542,14.49745,40.590878000000004,73.708908,63.964535,25.146791,43.062988,35.15984,,,,
55,2009-10-01,14.612637,,,,,,,52.816154000000004,30.224186,,270.89801,,11.430804,9370.733398,12.129959,74.011032,,,,14.231710999999999,,61.060534999999994,,,,15.842916,45.308605,36.412487,,26.766084999999997,26.589767,23.470989000000003,,,,,,,,44.533359999999995,32.937763000000004,13.631482,40.176384000000006,,19.394276,12.960583,22.776670000000003,14.722263,20.515358,12.766411,41.671562,62.955020999999995,65.086563,24.804047,44.321217,35.035362,,,,
56,2009-11-01,15.203276999999998,,,,,,,51.231071,31.826003999999998,,253.966919,,12.149398,8666.446289,12.25815,74.933853,,,,14.449125,,63.833591000000006,,27.018787,,16.742464000000002,45.564896000000005,36.93507,,27.735756,27.344322,26.558867,,,,,,,,44.910255,33.385887,14.0988,41.505909,,20.151785,12.821833999999999,23.278157999999998,14.933106,21.538332,13.443776000000002,42.090538,69.37748,66.994049,24.967642,45.580669,34.99892,,,,
57,2009-12-01,16.501974,,,,,,,50.971882,31.606325,,253.767731,,12.579071,8362.490234,12.033818,81.16295600000001,,,,15.119496,,66.659981,,29.103432,,17.262035,49.418427,38.104244,,27.458702000000002,27.262303999999997,28.165186,,,,,,,,44.949932000000004,33.59446,14.689551999999999,45.702194,,21.484291,13.531891,24.600262,15.547298999999999,22.821707,15.118363,43.853778999999996,76.54673000000001,66.817719,25.885645,45.733074,37.550259000000004,,,,
58,2010-01-01,16.525068,,,,,,,53.194981000000006,28.768814000000003,,275.47943100000003,,11.937796,9467.110352,11.132783,77.76908900000001,,,,14.377510000000001,,59.756496,,26.684421999999998,,15.037379000000001,47.59985,37.326645,,26.035456,26.165018,25.839279,,,,,,,,43.210751,33.33736,13.055192,39.719372,,20.440310999999998,13.072213,24.45286,14.815554999999998,21.112732,13.180356,42.294734999999996,65.49413299999999,64.873726,25.365057,43.95752,36.022984,,,,
59,2010-02-01,17.073589000000002,,,,,,,51.958816999999996,29.748210999999998,,260.141815,,12.63648,8533.001953,10.659741,82.574791,,,,15.121329999999999,,56.74199300000001,,26.358009000000003,,13.974444,49.24028,38.517258,,26.370442999999998,26.650779999999997,27.727078999999996,,,,,,,,44.01918,34.251289,12.570031,38.971503999999996,,20.568417,13.603271,24.901119,15.201569000000001,21.047539,13.471995999999999,44.272514,57.95148100000001,66.450867,26.467093,45.280277000000005,37.456226,,,,
60,2010-03-01,17.895725,,,,,,,50.453484,31.368364,,244.007446,,13.462883999999999,7717.51123,10.847328,80.079514,,,,15.747229999999998,,61.223728,,27.87221,,14.724751000000001,49.780983,39.068134,,27.539,27.358824,29.662077000000004,,,,,,,,45.575424,34.772040999999994,13.072833000000001,41.38126,,22.206198,14.199688,26.099522,15.311855,22.751827,14.676195000000002,45.698956,63.92586899999999,68.296265,27.04999,46.393337,38.46043,,,,
61,2010-04-01,18.341217,,,,,,,48.090816,34.163807,,220.94125400000001,,14.170326000000001,6590.650390999999,10.521092,84.607964,,,,16.409416,,61.223728,,28.769852,,14.380859,51.996758,41.989475,,27.920727000000003,28.636862,29.386774,,,,,15.664010000000001,,,44.989304,35.085072,12.878769,42.004475,25.113869,23.121164,15.090238000000001,27.343657,16.543419,23.096415,15.184219,47.392635,63.02970500000001,71.352982,28.90687,48.490204,40.814281,,,,
62,2010-05-01,17.145429999999998,,,,,,,53.91275400000001,26.290438,,275.200531,,12.469885000000001,8903.679688,8.792045,76.10556,,,,14.214231,,51.353245,,26.212938,,11.887657,47.090527,34.515194,,24.625401999999998,25.274139,25.335863,,,,,14.917241,,,39.613224,27.899633,11.008702,36.395565000000005,22.061567,20.788004,13.954587,24.763901,13.970001000000002,20.321117,13.293249,42.059559,49.736706,62.833218,24.110332,42.937828,37.425270000000005,,,,
63,2010-06-01,18.409279,,,,,,,56.574496999999994,23.005281,,300.178925,,11.615888,9971.232422,7.984611,70.14469100000001,,,,13.334349,,48.8456,,24.734995,,11.4109,43.926712,33.153805,,22.786865,23.671260999999998,23.448067,,,,,15.931151000000002,,,37.430454,27.081306,10.523541999999999,34.318195,21.076328,19.635143,13.374507000000001,24.013758,13.271498999999999,19.58539,12.606479,39.480717,48.168434000000005,59.215565000000005,22.797218,40.210213,35.616577,,,,
64,2010-07-01,19.701679000000002,,,,,,,52.118317,26.610747999999997,,254.205948,,12.568894,7684.891113,8.974165,73.660782,,,,14.633676999999999,19226.966797,55.168053,,28.228422,,12.822531,46.02243,37.520733,,25.332176,25.671282,26.500009999999996,,,,15.508384,16.598993,,,41.432198,30.108782,11.758492,38.057465,22.892256,21.906558999999998,14.450946,26.379153999999996,15.11885,21.761049,13.980017000000002,42.928684000000004,56.905956,63.971332999999994,25.685705,43.775940000000006,37.115532,,,,
65,2010-08-01,18.963161,14.95,,,,,,54.18191899999999,24.230036,,273.40783700000003,,11.868929,8549.3125,7.937736999999999,69.21333299999999,,,,13.806554,16854.128906,50.152775,,25.398305999999998,,12.254394,43.213726,34.348704999999995,,24.055714000000002,24.559469,25.320135,,,,14.968591,16.336437,,,39.673854999999996,27.877974,10.867563,35.564617,21.095648,20.127623,13.714907,25.297962,13.951619,19.963151999999997,12.662924,40.106628,54.44154,61.117889,23.914907,41.629421,35.231396000000004,,,,
66,2010-09-01,20.37719,15.45,,,,,,49.366856,28.954702,,224.765686,,12.926478999999999,6391.967285,8.423043,76.069824,,,,15.551691,20169.125,55.007992,,27.518620000000002,,13.627394,47.637904999999996,39.338409000000006,,26.679547999999997,26.866076,29.410376,,,,15.908681,17.235806,,,42.705479,32.47934,12.190728,41.048889,23.742262,22.245834,15.146098,27.826851,16.0655,22.30135,14.356333,44.818832,64.299263,67.25569200000001,27.082264000000002,45.580967,38.652103000000004,,,,
67,2010-10-01,21.434095000000003,15.94,,,,,,46.695145000000004,32.076992,,201.42067,,13.709646,5371.861816,8.612235,78.756813,,,,16.36063,21674.580078,54.447773,,28.674332,,13.382778,49.198708,41.982506,,27.908728000000004,28.317514000000003,31.227386,,,,16.5819,17.845646,,,45.393513,34.23568,12.296579,41.547447,25.509892,23.284174,15.768879,29.189056,16.828335,23.065217999999998,14.638568,47.338314000000004,62.805664,70.686348,28.634859000000002,48.387985,40.148655,,,,
68,2010-11-01,21.591116,15.86,,,,,,43.754269,35.74662,,177.995956,,14.255881,4415.513672,7.7074169999999995,83.25056500000001,,,,17.560411,24167.056641,51.219852,,27.036309999999997,,11.733604,53.195232,46.592724,,28.184503999999997,29.94207,33.469147,,,,16.988899,18.387909,,,49.577156,37.437107,11.485039,39.927096999999996,29.344585,24.128861999999998,17.252337,31.923525,18.675684,22.54355,14.817317000000001,51.04681,51.155628,75.263283,31.494699,51.222313,44.168091,,,,
69,2010-12-01,22.229836,16.07,,,,,,40.255123,42.237606,,149.073593,,15.502207,3343.513428,8.431274,91.1726,,,,19.24192,28738.259766000003,53.380688,,28.910929,,12.49901,58.661751,50.248798,,30.776822999999997,32.458079999999995,37.158229999999996,,,,17.73263,18.793758,,,51.234446999999996,40.442485999999995,12.314217999999999,43.167797,32.406555,25.827433,18.907909,34.327656,20.063498000000003,24.59296,15.447642000000002,55.354293999999996,54.51622,81.02713,33.541344,55.747463,48.297413,,,,
70,2011-01-01,22.865847,16.299999,,,,,,37.433871999999994,48.590321,,128.238358,,16.556824,2677.775879,8.620461,96.613136,,,,20.55154,30357.734375,55.39879200000001,,30.467056,,13.133351000000001,62.183216,53.98465699999999,,32.930836,35.003448,36.856163,,,,17.880138,18.981071,,,55.065201,44.330441,12.560839999999999,43.333988,34.820244,26.324153999999997,20.327179,36.354595,21.42849,25.338203,15.814542999999999,59.701168,59.678005000000006,87.827881,35.947483,60.015620999999996,52.034756,,,,
