,Date,ANGL,CJNK,GHYG,HYGH,HYHG,HYIH,HYLD,HYLS,HYND,HYS,HYZD,JNK,PGHY,PHB,RIGS,SHYG,SJB,SJNK,UJB,WBII
124,2015-07-01,22.00754,21.740231,40.681007,91.220001,57.441322,19.349737,39.330002,40.724022,18.067049,82.272896,23.690001000000002,30.337887,19.372432999999997,15.757204000000002,21.284214000000002,38.990517,27.103592,22.904154000000002,50.467197,23.352819
125,2015-08-01,21.435476,21.68502,39.779675,88.43,55.928127,19.053881,38.18,40.697247,17.424511,81.294128,22.98,29.716694,18.938124,15.576239000000001,21.014086,38.411133,27.489796000000002,22.463104,49.028622,23.019913
126,2015-09-01,21.011913,21.349066,39.269154,85.160004,53.387554,18.240667000000002,36.150002,39.690983,16.908794,79.282555,22.549999,28.771564,19.038338,15.274629999999998,20.695093,37.506725,28.282009000000002,21.907637,45.450146000000004,22.974672
127,2015-10-01,21.469284,21.861681,40.323097,87.753998,55.249031,18.559887,36.220001,40.473553,17.376932,81.55387900000001,22.9,29.573691999999998,19.246525,15.69881,21.20859,38.401428,27.252132,22.30534,49.423256,23.100672
128,2015-11-01,21.003386,21.644614999999998,39.473843,85.300003,53.889182999999996,18.275295,34.740002000000004,39.631695,17.478756,79.424782,22.559998999999998,28.824347999999997,19.283329000000002,15.434435999999998,21.073760999999998,37.7155,27.925512,21.797043,46.986507,22.833342000000002
129,2015-12-01,20.216509,20.878023000000002,37.877533,83.050003,52.167782,17.801966,32.639998999999996,39.304504,16.5091,77.44577,21.92,27.776819,19.058865,15.120803,20.953611,36.987194,28.371129999999997,21.182474,43.281578,22.617012
130,2016-01-01,20.104931,21.000378,37.636639,80.670998,50.522121000000006,17.559071,31.43,39.110935,15.903049,76.930862,21.24,27.505577000000002,18.817985999999998,14.920785,20.888807,36.906837,28.73753,20.94405,48.509182,22.732063
131,2016-02-01,20.50013,21.349939000000003,37.979267,80.660004,50.892487,17.6084,30.610001,39.343174,15.761505,77.29763,21.190001000000002,27.687788,19.009453,15.137557000000001,21.322668,37.2169,28.242399,21.077293,47.252891999999996,22.843086
132,2016-03-01,21.718860999999997,22.053024,39.684456,82.459999,53.028328,18.122211,31.6,40.253361,16.015081,79.673485,21.73,28.517146999999998,19.508051000000002,15.622489000000002,21.367205,37.915989,27.460086999999998,21.59515,47.986484999999995,23.200878
133,2016-04-01,23.087374,22.451538,41.157771999999994,84.535004,54.637039,18.555075,32.970001,40.729019,16.721882,82.369881,22.32,29.558884000000003,19.822235,16.090084,21.671110000000002,38.695965,26.598557,22.363335,50.594635,22.974545000000003
134,2016-05-01,23.0382,22.460607999999997,40.931053000000006,84.860001,54.67091,18.811428,33.57,40.814246999999995,16.752642,83.08042900000001,22.59,29.659634000000004,20.153496,16.049776,21.814594,39.070479999999996,26.52924,22.565819,53.876053000000006,23.01289
