,Date,AIRR,CGW,CHII,EDOM,EVX,EXI,FIDU,FIW,FXR,IEV,ITA,IYJ,IYT,JETS,PHO,PIO,PPA,PSCI,RGI,SEA,SIJ,UXI,VIS,XAR,XLI,XTN,_PRN
657,2017-10-09,26.012093,33.787708,15.717452,28.823908000000003,,88.19976,35.994083,46.158653,37.563812,45.628605,179.833847,138.399734,176.105499,30.836102,28.889971000000003,24.649442999999998,52.235744,61.068214000000005,111.856804,11.432013000000001,18.405054,66.139099,132.493927,80.974426,69.918518,59.836063,59.346371
658,2017-10-16,26.270111,33.893536,15.317369,28.665125,,88.91539,36.452049,46.347069,37.790993,45.320171,181.700241,140.454712,176.804977,30.311665,29.168521999999996,24.766821,52.572998,61.207069,113.03321799999999,11.355607000000001,18.057415,67.687141,134.179581,81.834595,70.791779,60.162663,60.044563000000004
659,2017-10-23,26.678558000000002,33.893536,15.126856,28.355960999999997,,88.699722,36.227940000000004,46.347069,37.781113,44.915352,178.382217,140.189224,176.09565700000002,28.892947999999997,29.238160999999998,24.649442999999998,52.057194,61.613728,111.964653,11.221898,17.749504,67.38943499999999,133.020081,80.410881,70.170799,60.212143000000005,60.054534999999994
660,2017-10-30,26.389658,33.874294,15.145906,28.618422,,88.758537,36.00383,45.970253,37.64283,45.368359000000005,179.893082,139.441986,173.061401,28.746181,29.248109999999997,24.805948,52.30518,61.435192,111.131363,11.260102,18.246132,66.77419300000001,132.152908,80.865677,69.695358,59.21256999999999,59.755309999999994
661,2017-11-06,25.811853,33.80695,14.926815,27.973948999999998,,87.55274200000001,35.604328,46.148746,37.168715999999996,44.732224,176.979965,138.193283,168.578949,28.345026,28.969555,24.649442999999998,51.590981,60.215221,109.935341,11.107292999999999,18.593771,65.44445,130.62313799999998,79.214554,68.948235,57.450935,59.36631800000001
662,2017-11-13,25.532915,33.960884,14.717248999999999,27.978617,,86.768486,35.302265000000006,46.783363,37.227973999999996,44.655117,175.79496799999998,137.593475,168.49028,28.932083000000002,29.158572999999997,24.698351000000002,51.243801,60.830169999999995,109.79808799999999,10.753922,18.554041,64.759743,129.60003700000001,78.591675,68.404884,57.569694999999996,59.525906000000006
663,2017-11-20,26.090792,34.451534,14.945867000000002,28.702484000000002,,88.10173,35.779720000000005,47.546886,37.800865,45.474388,178.866104,139.343643,170.83496100000002,29.499571000000003,29.566453999999997,25.050488,52.07703,62.089813,111.12155200000001,10.964034,18.454716,66.337563,131.43187,80.035164,69.287842,58.71773100000001,60.483425
664,2017-11-27,26.837952,34.509258,14.802979999999998,28.688475,,89.111465,36.78334,48.181507,38.956528000000006,45.175594,180.8806,141.890228,181.198746,30.722603000000003,30.073821999999996,25.246115,52.652359,63.92474,115.013512,10.973586,17.22308,68.967239,135.290375,80.66793100000001,71.403046,62.330055,60.593143000000005
665,2017-12-04,26.788140999999996,34.461155,14.183809,28.627762,,89.729065,37.173103000000005,47.993111,39.37138,45.214146,182.539597,143.315903,185.030975,31.495562,30.143457,25.353714,52.979698,63.547836,116.74871100000001,10.696619,17.242943,70.346588,136.771362,81.11284599999999,72.470352,63.250462,60.42358
666,2017-12-11,26.698483000000003,34.172539,14.545786999999999,28.450296,,90.013359,37.182842,47.814617,39.381256,45.098488,185.482361,143.817368,184.92259199999998,31.710814000000003,29.775370000000002,25.070048999999997,53.624466000000005,63.617264,116.062469,10.868528999999999,16.984697,70.971756,136.58625800000002,82.39814799999999,72.30542,63.141597999999995,60.702858
