,Date,AADR,COPX,CRAK,DBAW,ECON,EDC,EEM,EEMS,EMCG,EMFM,FAN,FIEG,FLN,FM,FNDE,FONE,FPA,FPXI,FWDI,GDXJ,GDXS,HAWX,HEEM,HGI,HILO,ICLN,IEMG,IFV,IQDF,JDST,KALL,KOL,LIT,PBD,PICK,QEMM,SIL,SLVP,SLX,SOCL,SOIL,TLEH,TLTE,VIDI
87,2012-06-01,27.199364000000003,29.243006,,,21.867673999999997,102.428574,33.571568,34.588985,,,5.220868,,18.306952,,,20.533607,19.739975,,18.724510000000002,68.884956,,,,12.109446,14.389419,5.872479,,0.181872,,,,19.658966,26.211018,6.797219999999999,31.384951,,52.03973,16.038172,35.561188,13.356777,11.009342,,,
88,2012-07-01,27.532675,28.796751,,,21.782511,100.436859,33.964695,34.800621,,,4.859675,,19.416224,,,20.512707000000002,20.394683999999998,,18.6539,68.920822,,,,12.363866,14.789916,5.2402489999999995,,0.181872,,,,18.689245,24.239473,6.300553,30.898033,,51.088974,16.568424,34.460125,11.943102,11.816581,,,
89,2012-08-01,27.656944,29.925516,,,21.93391,100.738251,34.103607000000004,35.66713,,,5.3522099999999995,,19.046467,,,21.073816,20.975673999999998,,19.332273,77.742104,,,,12.654688,14.608395999999999,5.580739,,0.181872,,,,18.056117999999998,25.630119,6.697722,30.549801000000002,,59.953334999999996,18.636087,33.542568,12.17709,11.670589,,,
90,2012-09-01,28.737232000000002,33.233074,,,23.012627,116.422913,35.883453,37.862286,,,5.4917620000000005,,20.061336999999998,20.78256,,20.963434,22.060772,,20.181269,88.643211,,,,12.843328999999999,14.797804000000001,5.688701,,0.181872,,,,18.721298,27.196793,6.869228,32.528412,,69.628647,21.498322,35.002678,13.444522000000001,12.065621,,,
91,2012-10-01,28.544003000000004,33.941837,,,23.741232,113.74983200000001,35.727177000000005,37.284611,,,5.40422,,20.12266,20.681708999999998,,20.56213,22.252504000000002,,20.074106,86.5634,,,,12.811246,14.894084,5.406341,41.481178,0.181872,,,,20.155851000000002,25.172439999999998,6.68547,33.066596999999994,,70.69124599999999,21.859484,35.210125,12.36233,11.876692,,44.275326,
92,2012-11-01,29.136871000000003,33.915585,,,23.779083,118.440804,36.282829,38.423458000000004,,,5.412535,,19.688976,20.681708999999998,,22.353355,23.194317,,20.44949,77.311798,,,,12.98598,15.181122,5.522606,42.143436,0.181872,,,,18.993783999999998,25.278055,6.667327,33.066596999999994,,64.008018,19.791815,35.210125,12.596318,11.885280999999999,,44.538246,
93,2012-12-01,29.395071,34.178093,,,25.207907000000002,143.192963,38.50547,39.03413,,,5.770042,,21.415804,21.426439000000002,,23.175102,23.922082999999997,,21.477327,70.964783,,,,13.375160000000001,16.177782,5.95445,44.895657,0.181872,,,,20.147839,25.278055,7.157172,35.836655,,63.336906000000006,19.584148000000003,38.848423,12.615817,12.057032000000001,,47.307648,
94,2013-01-01,31.593283000000003,35.573959,,,25.566832,141.57560700000002,38.637791,41.885456,,,6.216017,,22.307164999999998,22.675409,,24.22327,24.160963,,22.497978,70.374664,,,,14.008536999999999,16.522631,6.18536,44.898422,0.181872,,,,20.469288,26.606613,7.669442,36.25671,,58.356747,18.386475,39.850483000000004,13.745276,12.709127,,47.792706,
95,2013-02-01,31.363379,32.317753,,,25.082289000000003,131.26728799999998,37.755291,42.252415,,,6.282764,,22.275557,22.53577,,24.22327,24.375458,,22.090555,58.943436,,,,13.736367999999999,16.008596,6.16001,44.208736,0.181872,,,,19.262812,26.173693,7.879189,33.976723,,52.1768,16.644503,37.239471,13.666620000000002,12.257401,,47.143547,
96,2013-03-01,31.219685,31.042415999999996,,,25.262804,126.19180300000001,37.370831,42.201218,,,6.399576000000001,,21.84095,22.776258,,24.520032999999998,23.937887,,22.425398,62.331841000000004,,,,13.704347,16.253372,6.21916,43.760436999999996,0.181872,,,,18.675879000000002,24.65847,7.870069,31.792395000000003,,51.217354,16.462101,35.525997,13.578132,11.866484,,46.406651000000004,
97,2013-04-01,32.199726,28.681669,,,25.97537,130.15254199999998,37.825191,42.747395000000004,,,6.6958899999999995,,21.638289999999998,23.505470000000003,,25.709743,24.274794,,22.796438000000002,47.735615,,,,14.134431,16.878897,7.182455,44.372536,0.181872,20.055794,,,17.746569,23.071092999999998,8.386424,30.516861,,42.38483,13.087596000000001,34.571346000000005,14.561341,11.527692,,46.792633,
98,2013-05-01,32.448818,27.786216999999997,,,25.10129,111.542442,35.99902,41.63797,,,7.1884809999999995,,20.22537,24.738924,,26.712146999999998,22.849403,,22.950377,44.756802,,,,13.931815,15.668556,7.604951,42.4328,0.181872,19.689297,,,16.703129,22.674246,9.390239999999999,29.767490000000002,,40.465942,12.458296,32.906837,14.502348999999999,11.406071,,45.476760999999996,
99,2013-06-01,31.442865,23.471757999999998,,,24.521735999999997,92.027428,33.639862,37.78054,,,7.021502000000001,,18.510818,22.776258,,26.248068,21.104382,,21.610914,34.10751,,,,13.210505,14.935759,7.385252,39.708549,0.181872,18.737973999999998,,,14.396157999999998,20.455524,8.897458,26.132255999999998,,33.072582000000004,10.360633,31.005695000000003,14.571174,10.580805,,42.108115999999995,
